#{"t_start": 1752147323.3922827, "env_id": "None"}
r,l,t
-875.2351,86,232.351903
113.34448,33,232.388587
-115.62594,33,232.582438
-812.28094,78,232.758056
-180.51068,35,233.012873
-300.10196,42,233.521138
855.76245,100,233.878095
-151.55658,34,233.990721
-381.0345,51,234.028228
-88.16385,33,234.225335
-408.89902,100,234.722332
-537.7865,63,234.722698
-162.60463,38,234.957488
506.21014,75,235.14119
-248.62437,42,235.612522
-338.00815,44,235.652073
241.2772,100,235.726182
-234.82774,39,236.143367
778.44867,100,236.250056
-249.88074,44,236.611233
-113.50231,33,236.905402
-299.7726,38,237.166849
-334.8381,47,237.373747
-208.88821,38,237.58285
797.34705,100,237.62273
-145.90924,34,237.867311
803.2348,100,237.985814
-612.68713,83,238.256377
-67.4626,33,238.418632
-503.493,100,238.493382
-452.9616,60,238.569677
-199.20592,38,239.051679
59.363792,35,239.34426
-382.98883,50,239.575728
